0 128 640 5 5 0
1 2 a 3
3 127 d 4
3 104 e 0
4 5 a 3
4 5 b 1
4 77 c 0
4 116 d 3
4 63 e 3
5 6 a 4
5 6 b 1
5 54 c 4
5 20 d 0
5 13 e 3
6 7 a 3
6 7 b 0
6 91 c 1
6 3 d 2
6 128 e 3
7 8 a 4
7 8 b 1
7 126 c 2
7 5 d 0
7 11 e 4
8 9 a 3
8 9 b 2
8 100 c 0
8 4 d 3
8 99 e 4
9 10 a 1
9 10 b 2
9 84 c 0
9 14 d 4
9 5 e 2
10 11 a 0
10 11 b 2
10 28 c 3
10 84 d 2
10 45 e 1
11 12 a 3
11 12 b 4
11 12 c 2
11 44 d 3
11 96 e 1
12 13 a 2
12 13 b 0
12 121 c 0
12 16 d 4
12 100 e 2
13 14 a 3
13 14 b 3
13 60 c 3
13 30 d 1
13 66 e 2
14 15 a 4
14 15 b 3
14 48 c 2
14 22 d 1
14 75 e 2
15 16 a 1
15 16 b 4
15 56 c 2
15 94 d 3
15 16 e 2
16 17 a 2
16 17 b 4
16 55 c 1
16 1 d 4
16 105 e 4
17 18 a 2
17 18 b 2
17 21 c 0
17 43 d 4
17 111 e 3
18 19 a 4
18 19 b 1
18 65 c 3
18 47 d 2
18 1 e 0
19 20 a 4
19 20 b 1
19 41 c 3
19 2 d 2
19 67 e 2
20 21 a 3
20 21 b 2
20 67 c 0
20 61 d 3
20 26 e 4
21 22 a 4
21 22 b 1
21 8 c 3
21 31 d 2
21 50 e 0
22 23 a 2
22 23 b 1
22 116 c 4
22 9 d 1
22 120 e 2
23 24 a 4
23 24 b 4
23 8 c 0
23 128 d 4
23 32 e 1
24 25 a 2
24 25 b 0
24 72 c 2
24 46 d 4
24 32 e 3
25 26 a 4
25 26 b 4
25 61 c 4
25 97 d 1
25 51 e 0
26 27 a 4
26 27 b 2
26 115 c 4
26 10 d 3
26 88 e 4
27 28 a 4
27 28 b 0
27 124 c 4
27 64 d 1
27 80 e 0
28 29 a 3
28 29 b 1
28 108 c 0
28 59 d 4
28 35 e 2
29 30 a 0
29 30 b 4
29 91 c 3
29 89 d 3
29 27 e 0
30 31 a 0
30 31 b 4
30 102 c 4
30 28 d 3
30 72 e 1
31 32 a 3
31 32 b 1
31 46 c 0
31 41 d 3
31 123 e 1
32 33 a 2
32 33 b 2
32 87 c 4
32 75 d 2
32 74 e 1
33 34 a 1
33 34 b 4
33 11 c 1
33 111 d 0
33 18 e 0
34 35 a 1
34 35 b 3
34 116 c 4
34 38 d 1
34 112 e 2
35 36 a 2
35 36 b 3
35 69 c 4
35 37 d 2
35 71 e 4
36 37 a 2
36 37 b 4
36 50 c 3
36 72 d 3
36 62 e 0
37 38 a 4
37 38 b 1
37 116 c 2
37 11 d 2
37 63 e 1
38 39 a 1
38 39 b 2
38 70 c 3
38 15 d 3
38 121 e 1
39 40 a 2
39 40 b 3
39 106 c 0
39 28 d 0
39 95 e 1
40 41 a 2
40 41 b 3
40 37 c 2
40 25 d 2
40 39 e 4
41 42 a 0
41 42 b 1
41 63 c 0
41 21 d 0
41 75 e 4
42 43 a 1
42 43 b 0
42 4 c 2
42 65 d 2
42 11 e 0
43 44 a 0
43 44 b 1
43 69 c 2
43 116 d 2
43 105 e 4
44 45 a 1
44 45 b 1
44 87 c 2
44 38 d 3
44 44 e 2
45 46 a 0
45 46 b 1
45 19 c 0
45 117 d 4
45 94 e 2
46 47 a 0
46 47 b 4
46 85 c 4
46 35 d 0
46 77 e 1
47 48 a 0
47 48 b 1
47 125 c 1
47 22 d 0
47 14 e 0
48 49 a 3
48 49 b 0
48 113 c 3
48 87 d 4
48 117 e 4
49 50 a 0
49 50 b 3
49 25 c 3
49 19 d 2
49 30 e 0
50 51 a 0
50 51 b 4
50 97 c 2
50 29 d 0
50 104 e 3
51 52 a 3
51 52 b 4
51 59 c 4
51 106 d 2
51 117 e 2
52 53 a 2
52 53 b 0
52 26 c 1
52 20 d 4
52 43 e 3
53 54 a 2
53 54 b 3
53 120 c 0
53 87 d 0
53 54 e 4
54 55 a 2
54 55 b 3
54 81 c 1
54 23 d 4
54 4 e 0
55 56 a 2
55 56 b 0
55 38 c 3
55 88 d 0
55 71 e 1
56 57 a 1
56 57 b 4
56 123 c 3
56 69 d 4
56 118 e 1
57 58 a 0
57 58 b 3
57 89 c 3
57 42 d 3
57 76 e 3
58 59 a 1
58 59 b 3
58 77 c 2
58 121 d 1
58 71 e 4
59 60 a 2
59 60 b 0
59 103 c 3
59 73 d 0
59 43 e 3
60 61 a 2
60 61 b 2
60 60 c 4
60 82 d 3
60 125 e 4
61 62 a 2
61 62 b 3
61 100 c 4
61 114 d 2
61 9 e 0
62 63 a 0
62 63 b 2
62 124 c 1
62 43 d 3
62 92 e 0
63 64 a 4
63 64 b 3
63 37 c 2
63 35 d 1
63 74 e 4
64 65 a 0
64 65 b 4
64 4 c 3
64 35 d 0
64 105 e 1
65 66 a 4
65 66 b 2
65 64 c 3
65 25 d 2
65 20 e 0
66 67 a 2
66 67 b 4
66 7 c 0
66 22 d 2
66 105 e 1
67 68 a 3
67 68 b 4
67 9 c 4
67 80 d 2
67 75 e 2
68 69 a 2
68 69 b 1
68 123 c 3
68 32 d 4
68 97 e 1
69 70 a 1
69 70 b 0
69 22 c 1
69 5 d 2
69 22 e 3
70 71 a 2
70 71 b 1
70 21 c 2
70 32 d 3
70 23 e 3
71 72 a 4
71 72 b 2
71 59 c 4
71 54 d 4
71 87 e 1
72 73 a 1
72 73 b 1
72 74 c 1
72 50 d 1
72 14 e 2
73 74 a 0
73 74 b 0
73 13 c 3
73 32 d 0
73 54 e 2
74 75 a 3
74 75 b 1
74 79 c 2
74 50 d 3
74 13 e 4
75 76 a 1
75 76 b 2
75 98 c 0
75 63 d 4
75 22 e 3
76 77 a 0
76 77 b 1
76 25 c 4
76 63 d 3
76 24 e 4
77 78 a 0
77 78 b 3
77 78 c 3
77 80 d 3
77 29 e 4
78 79 a 0
78 79 b 1
78 93 c 2
78 53 d 1
78 116 e 1
79 80 a 2
79 80 b 2
79 38 c 4
79 82 d 4
79 47 e 0
80 81 a 4
80 81 b 0
80 15 c 1
80 48 d 1
80 38 e 1
81 82 a 1
81 82 b 1
81 128 c 2
81 127 d 3
81 114 e 2
82 83 a 2
82 83 b 4
82 102 c 0
82 15 d 3
82 115 e 1
83 84 a 3
83 84 b 2
83 49 c 3
83 86 d 3
83 75 e 1
84 85 a 4
84 85 b 3
84 85 c 2
84 110 d 2
84 96 e 0
85 86 a 1
85 86 b 0
85 76 c 0
85 20 d 3
85 94 e 3
86 87 a 3
86 87 b 1
86 18 c 4
86 42 d 0
86 51 e 2
87 88 a 1
87 88 b 0
87 40 c 0
87 53 d 3
87 17 e 0
88 89 a 3
88 89 b 2
88 19 c 2
88 96 d 3
88 111 e 4
89 90 a 0
89 90 b 0
89 90 c 2
89 119 d 4
89 9 e 0
90 91 a 1
90 91 b 0
90 11 c 1
90 108 d 1
90 91 e 1
91 92 a 1
91 92 b 1
91 54 c 1
91 86 d 3
91 42 e 0
92 93 a 4
92 93 b 1
92 112 c 4
92 109 d 1
92 123 e 0
93 94 a 3
93 94 b 0
93 81 c 1
93 16 d 2
93 26 e 1
94 95 a 0
94 95 b 0
94 118 c 2
94 63 d 3
94 20 e 4
95 96 a 3
95 96 b 0
95 1 c 0
95 33 d 0
95 61 e 1
96 97 a 2
96 97 b 4
96 20 c 0
96 127 d 0
96 43 e 2
97 98 a 3
97 98 b 0
97 90 c 0
97 71 d 1
97 57 e 2
98 99 a 3
98 99 b 1
98 126 c 1
98 10 d 1
98 6 e 4
99 100 a 2
99 100 b 3
99 49 c 1
99 126 d 2
99 115 e 1
100 101 a 2
100 101 b 4
100 40 c 1
100 125 d 0
100 40 e 3
101 102 a 0
101 102 b 3
101 28 c 3
101 4 d 2
101 16 e 4
102 103 a 3
102 103 b 2
102 73 c 4
102 53 d 1
102 88 e 2
103 104 a 2
103 104 b 0
103 111 c 0
103 85 d 3
103 116 e 0
104 105 a 4
104 105 b 2
104 84 c 1
104 78 d 0
104 26 e 0
105 106 a 4
105 106 b 1
105 64 c 3
105 47 d 1
105 68 e 3
106 107 a 4
106 107 b 0
106 127 c 3
106 39 d 1
106 51 e 0
107 108 a 2
107 108 b 4
107 99 c 1
107 14 d 2
107 103 e 2
108 109 a 0
108 109 b 1
108 63 c 3
108 92 d 1
108 40 e 0
109 110 a 2
109 110 b 4
109 109 c 3
109 48 d 3
109 128 e 1
110 111 a 0
110 111 b 2
110 73 c 3
110 74 d 0
110 62 e 3
111 112 a 3
111 112 b 0
111 52 c 0
111 17 d 2
111 116 e 1
112 113 a 2
112 113 b 2
112 18 c 4
112 14 d 4
112 122 e 3
113 114 a 2
113 114 b 4
113 76 c 4
113 111 d 0
113 106 e 0
114 115 a 4
114 115 b 2
114 79 c 3
114 5 d 2
114 34 e 0
115 116 a 0
115 116 b 4
115 10 c 3
115 70 d 0
115 69 e 2
116 117 a 1
116 117 b 3
116 116 c 3
116 76 d 4
116 57 e 2
117 118 a 2
117 118 b 0
117 4 c 2
117 84 d 2
117 42 e 2
118 119 a 3
118 119 b 4
118 56 c 2
118 64 d 1
118 6 e 4
119 120 a 1
119 120 b 1
119 15 c 4
119 22 d 2
119 127 e 0
120 121 a 2
120 121 b 0
120 14 c 3
120 126 d 3
120 13 e 1
121 122 a 2
121 122 b 3
121 62 c 3
121 72 d 0
121 105 e 3
122 123 a 1
122 123 b 4
122 44 c 4
122 99 d 4
122 19 e 1
123 124 a 2
123 124 b 2
123 105 c 1
123 103 d 1
123 77 e 3
124 125 a 1
124 125 b 1
124 8 c 1
124 12 d 4
124 29 e 4
125 126 a 1
125 126 b 2
125 34 c 2
125 49 d 2
125 79 e 2
126 127 a 0
126 127 b 3
126 85 c 2
126 87 d 1
126 112 e 3
127 128 a 4
127 128 b 1
127 64 c 3
127 35 d 1
127 85 e 4
128 1 a 0
128 1 b 3
128 9 c 1
128 95 d 0
128 18 e 0

26 128 640 5 5 0
1 2 a 2
1 2 b 1
1 87 c 4
1 121 d 1
1 3 e 3
2 3 a 1
2 3 b 1
2 88 c 4
2 2 d 2
2 71 e 2
3 4 a 2
3 4 b 1
3 61 c 1
3 48 d 4
3 63 e 3
4 5 a 3
4 5 b 1
4 57 c 4
4 93 d 3
4 19 e 3
5 6 a 1
5 6 b 0
5 6 c 2
5 6 d 1
5 46 e 1
6 7 a 2
6 7 b 2
6 96 c 2
6 77 d 2
6 61 e 1
7 8 a 2
7 8 b 1
7 7 c 3
7 120 d 0
7 52 e 1
8 9 a 4
8 9 b 1
8 65 c 1
8 111 d 2
8 73 e 3
9 10 a 3
9 10 b 0
9 86 c 4
9 66 d 0
9 119 e 2
10 11 a 3
10 11 b 0
10 19 c 1
10 32 d 2
10 124 e 2
11 12 a 3
11 12 b 0
11 71 c 3
11 97 d 0
11 92 e 3
12 13 a 3
12 13 b 1
12 73 c 4
12 126 d 1
12 92 e 3
13 14 a 3
13 14 b 2
13 112 c 0
13 19 d 1
13 7 e 1
14 15 a 4
14 15 b 1
14 25 c 2
14 100 d 3
14 44 e 1
15 16 a 2
15 16 b 1
15 37 c 2
15 85 d 2
15 94 e 2
16 17 a 2
16 17 b 3
16 120 c 1
16 112 d 2
16 115 e 4
17 18 a 3
17 18 b 3
17 123 c 0
17 99 d 4
17 5 e 2
18 19 a 0
18 19 b 2
18 27 c 4
18 127 d 1
18 116 e 0
19 20 a 1
19 20 b 2
19 72 c 0
19 59 d 4
19 98 e 0
20 21 a 2
20 21 b 3
20 119 c 4
20 47 d 3
20 54 e 4
21 22 a 1
21 22 b 1
21 32 c 0
21 25 d 1
21 26 e 4
22 23 a 0
22 23 b 0
22 65 c 0
22 91 d 2
22 125 e 4
23 24 a 3
23 24 b 2
23 89 c 1
23 122 d 4
23 18 e 3
24 25 a 1
24 25 b 2
24 109 c 2
24 33 d 0
24 78 e 0
25 26 a 2
25 26 b 1
25 7 c 3
25 29 d 1
25 110 e 4
26 27 a 4
26 27 b 1
26 50 c 0
26 95 d 0
26 111 e 2
27 28 a 3
27 28 b 2
27 127 c 0
27 124 d 1
27 20 e 1
28 29 a 2
28 29 b 2
28 3 c 4
28 48 d 1
28 99 e 2
29 30 a 0
29 30 b 2
29 87 c 3
29 87 d 2
29 40 e 3
30 31 a 2
30 31 b 3
30 23 c 0
30 114 d 4
30 113 e 3
31 32 a 2
31 32 b 3
31 99 c 2
31 40 d 2
31 16 e 4
32 33 a 4
32 33 b 1
32 97 c 3
32 67 d 2
32 28 e 1
33 34 a 2
33 34 b 1
33 57 c 4
33 47 d 2
33 113 e 1
34 35 a 1
34 35 b 4
34 23 c 4
34 126 d 3
34 43 e 1
35 36 a 1
35 36 b 0
35 45 c 3
35 102 d 4
35 47 e 2
36 37 a 3
36 37 b 4
36 46 c 0
36 65 d 4
36 34 e 3
37 38 a 3
37 38 b 4
37 84 c 0
37 13 d 4
37 112 e 4
38 39 a 1
38 39 b 3
38 91 c 0
38 106 d 1
38 70 e 0
39 40 a 2
39 40 b 1
39 4 c 3
39 30 d 4
39 24 e 0
40 41 a 0
40 41 b 1
40 19 c 1
40 20 d 2
40 29 e 0
41 42 a 3
41 42 b 3
41 81 c 0
41 89 d 3
41 78 e 3
42 43 a 4
42 43 b 0
42 10 c 3
42 30 d 0
42 106 e 1
43 44 a 1
43 44 b 2
43 16 c 4
43 56 d 2
43 117 e 3
44 45 a 1
44 45 b 2
44 55 c 0
44 35 d 2
44 52 e 4
45 46 a 4
45 46 b 2
45 87 c 2
45 123 d 4
45 50 e 1
46 47 a 3
46 47 b 1
46 77 c 3
46 1 d 3
46 62 e 0
47 48 a 3
47 48 b 1
47 122 c 3
47 29 d 3
47 107 e 4
48 49 a 3
48 49 b 3
48 67 c 4
48 86 d 2
48 15 e 2
49 50 a 1
49 50 b 3
49 15 c 1
49 91 d 0
49 69 e 2
50 51 a 1
50 51 b 1
50 76 c 1
50 125 d 3
50 107 e 2
51 52 a 2
51 52 b 4
51 106 c 0
51 51 d 3
51 36 e 0
52 53 a 0
52 53 b 3
52 94 c 3
52 21 d 0
52 87 e 3
53 54 a 4
53 54 b 0
53 32 c 4
53 97 d 1
53 46 e 1
54 55 a 3
54 55 b 3
54 46 c 2
54 121 d 2
54 24 e 2
55 56 a 4
55 56 b 1
55 7 c 0
55 99 d 4
55 72 e 0
56 57 a 1
56 57 b 4
56 49 c 1
56 72 d 1
56 52 e 4
57 58 a 4
57 58 b 2
57 52 c 0
57 118 d 1
57 22 e 1
58 59 a 4
58 59 b 2
58 28 c 0
58 94 d 1
58 110 e 4
59 60 a 4
59 60 b 2
59 122 c 2
59 22 d 0
59 126 e 4
60 61 a 2
60 61 b 2
60 99 c 1
60 87 d 2
60 77 e 2
61 62 a 1
61 62 b 4
61 112 c 3
61 128 d 3
61 37 e 2
62 63 a 2
62 63 b 2
62 61 c 1
62 18 d 4
62 21 e 4
63 64 a 3
63 64 b 0
63 106 c 4
63 50 d 2
63 111 e 2
64 65 a 2
64 65 b 3
64 29 c 0
64 42 d 1
64 75 e 3
65 66 a 1
65 66 b 1
65 126 c 3
65 104 d 2
65 2 e 1
66 67 a 0
66 67 b 2
66 58 c 3
66 126 d 0
66 52 e 1
67 68 a 1
67 68 b 1
67 128 c 4
67 32 d 0
67 67 e 2
68 69 a 2
68 69 b 0
68 7 c 1
68 42 d 0
68 85 e 1
69 70 a 2
69 70 b 2
69 6 c 1
69 23 d 0
69 86 e 1
70 71 a 3
70 71 b 0
70 58 c 1
70 10 d 4
70 116 e 4
71 72 a 3
71 72 b 0
71 100 c 4
71 73 d 1
71 33 e 0
72 73 a 2
72 73 b 3
72 72 c 4
72 61 d 2
72 20 e 4
73 74 a 3
73 74 b 2
73 47 c 0
73 116 d 2
73 72 e 2
74 75 a 4
74 75 b 4
74 102 c 4
74 31 d 0
74 124 e 2
75 76 a 0
75 76 b 4
75 61 c 4
75 20 d 4
75 49 e 1
76 77 a 4
76 77 b 0
76 9 c 4
76 76 d 3
76 48 e 4
77 78 a 2
77 78 b 4
77 34 c 1
77 102 d 0
77 1 e 4
78 79 a 2
78 79 b 1
78 102 c 2
78 35 d 4
78 117 e 3
79 80 a 3
79 80 b 4
79 52 c 2
79 104 d 1
79 29 e 1
80 81 a 1
80 81 b 2
80 113 c 2
80 64 d 0
80 80 e 3
81 82 a 3
81 82 b 3
81 7 c 2
81 87 d 2
81 41 e 3
82 83 a 0
82 83 b 4
82 97 c 0
82 128 d 4
82 6 e 3
83 84 a 4
83 84 b 4
83 112 c 4
83 47 d 1
83 10 e 0
84 85 a 4
84 85 b 2
84 41 c 0
84 127 d 2
84 28 e 1
85 86 a 2
85 86 b 4
85 5 c 3
85 46 d 0
85 103 e 3
86 87 a 3
86 87 b 1
86 127 c 2
86 28 d 4
86 88 e 1
87 88 a 0
87 88 b 2
87 26 c 1
87 80 d 4
87 34 e 3
88 89 a 3
88 89 b 1
88 88 c 1
88 115 d 2
88 61 e 0
89 90 a 3
89 90 b 4
89 68 c 4
89 83 d 2
89 99 e 4
90 91 a 2
90 91 b 0
90 105 c 2
90 97 d 2
90 18 e 0
91 92 a 1
91 92 b 4
91 89 c 2
91 51 d 2
91 13 e 1
92 93 a 0
92 93 b 4
92 39 c 0
92 2 d 0
92 91 e 3
93 94 a 4
93 94 b 3
93 109 c 4
93 45 d 2
93 70 e 4
94 95 a 4
94 95 b 2
94 71 c 2
94 53 d 1
94 93 e 1
95 96 a 2
95 96 b 1
95 86 c 1
95 64 d 0
95 115 e 4
96 97 a 0
96 97 b 2
96 62 c 4
96 22 d 3
96 29 e 0
97 98 a 3
97 98 b 1
97 40 c 4
97 38 d 4
97 56 e 4
98 99 a 4
98 99 b 0
98 64 c 3
98 2 d 1
98 97 e 1
99 100 a 3
99 100 b 3
99 56 c 3
99 95 d 0
99 123 e 3
100 101 a 2
100 101 b 0
100 68 c 0
100 22 d 0
100 44 e 3
101 102 a 4
101 102 b 4
101 28 c 2
101 37 d 3
101 96 e 1
102 103 a 3
102 103 b 0
102 125 c 1
102 47 d 4
102 69 e 2
103 104 a 4
103 104 b 0
103 40 c 1
103 120 d 4
103 77 e 0
104 105 a 4
104 105 b 0
104 98 c 1
104 106 d 3
104 48 e 1
105 106 a 3
105 106 b 2
105 114 c 0
105 19 d 2
105 103 e 1
106 107 a 2
106 107 b 0
106 38 c 3
106 36 d 4
106 50 e 3
107 108 a 1
107 108 b 4
107 78 c 4
107 115 d 1
107 18 e 1
108 109 a 4
108 109 b 0
108 63 c 0
108 122 d 0
108 80 e 4
109 110 a 3
109 110 b 4
109 81 c 1
109 86 d 4
109 116 e 2
110 111 a 3
110 111 b 1
110 98 c 2
110 73 d 2
110 79 e 0
111 112 a 1
111 112 b 3
111 81 c 4
111 56 d 4
111 114 e 4
112 113 a 1
112 113 b 4
112 4 c 4
112 46 d 1
112 52 e 1
113 114 a 2
113 114 b 3
113 98 c 3
113 87 d 2
113 48 e 1
114 115 a 2
114 115 b 2
114 89 c 0
114 6 d 2
114 69 e 1
115 116 a 0
115 116 b 1
115 90 c 0
115 47 d 2
115 20 e 1
116 117 a 4
116 117 b 1
116 88 c 0
116 110 d 3
116 5 e 0
117 118 a 3
117 118 b 3
117 77 c 1
117 126 d 3
117 67 e 1
118 119 a 0
118 119 b 0
118 52 c 2
118 67 d 4
118 59 e 4
119 120 a 0
119 120 b 0
119 16 c 4
119 65 d 1
119 33 e 3
120 121 a 3
120 121 b 2
120 100 c 2
120 34 d 3
120 107 e 1
121 122 a 1
121 122 b 0
121 57 c 3
121 52 d 3
121 84 e 1
122 123 a 3
122 123 b 1
122 27 c 2
122 104 d 0
122 90 e 0
123 124 a 2
123 124 b 4
123 28 c 2
123 84 d 0
123 64 e 2
124 125 a 0
124 125 b 3
124 79 c 3
124 50 d 1
124 13 e 0
125 126 a 1
125 126 b 1
125 78 c 4
125 95 d 2
125 11 e 1
126 127 a 1
126 127 b 1
126 53 c 3
126 93 d 1
126 73 e 4
127 128 a 2
127 128 b 3
127 37 c 1
127 81 d 0
127 26 e 3
128 1 a 3
128 1 b 1
128 66 c 3
128 6 d 2
128 20 e 3

27 128 640 5 5 0
1 2 a 1
1 2 b 2
1 53 c 2
1 104 d 4
1 17 e 1
2 3 a 2
2 3 b 2
2 43 c 4
2 10 d 3
2 49 e 2
3 4 a 2
3 4 b 2
3 84 c 4
3 33 d 0
3 87 e 1
4 5 a 2
4 5 b 1
4 101 c 1
4 6 d 0
4 39 e 0
5 6 a 0
5 6 b 4
5 22 c 4
5 56 d 4
5 14 e 3
6 7 a 1
6 7 b 3
6 36 c 4
6 87 d 0
6 58 e 1
7 8 a 4
7 8 b 3
7 81 c 4
7 42 d 4
7 30 e 1
8 9 a 0
8 9 b 4
8 95 c 4
8 27 d 3
8 111 e 0
9 10 a 1
9 10 b 0
9 24 c 0
9 54 d 4
9 41 e 3
10 11 a 2
10 11 b 4
10 73 c 0
10 45 d 2
10 11 e 2
11 12 a 1
11 12 b 2
11 67 c 3
11 86 d 1
11 23 e 3
12 13 a 2
12 13 b 2
12 89 c 0
12 43 d 1
12 20 e 2
13 14 a 1
13 14 b 2
13 100 c 2
13 73 d 4
13 11 e 1
14 15 a 2
14 15 b 0
14 66 c 4
14 114 d 2
14 77 e 4
15 16 a 4
15 16 b 4
15 82 c 3
15 12 d 0
15 107 e 3
16 17 a 3
16 17 b 1
16 122 c 3
16 31 d 0
16 61 e 1
17 18 a 3
17 18 b 2
17 34 c 2
17 91 d 1
17 92 e 1
18 19 a 1
18 19 b 1
18 54 c 2
18 16 d 1
18 39 e 1
19 20 a 2
19 20 b 3
19 39 c 0
19 52 d 4
19 66 e 4
20 21 a 2
20 21 b 2
20 107 c 1
20 96 d 3
20 18 e 1
21 22 a 1
21 22 b 1
21 121 c 0
21 83 d 1
21 67 e 4
22 23 a 4
22 23 b 1
22 78 c 2
22 109 d 1
22 66 e 3
23 24 a 4
23 24 b 0
23 106 c 2
23 53 d 3
23 67 e 3
24 25 a 2
24 25 b 4
24 83 c 2
24 85 d 2
24 60 e 0
25 26 a 3
25 26 b 0
25 17 c 2
25 24 d 1
25 104 e 2
26 27 a 0
26 27 b 2
26 49 c 0
26 115 d 0
26 70 e 2
27 28 a 0
27 28 b 3
27 67 c 2
27 121 d 0
27 23 e 4
28 29 a 3
28 29 b 2
28 91 c 3
28 101 d 2
28 99 e 0
29 30 a 0
29 30 b 0
29 19 c 3
29 20 d 4
29 116 e 4
30 31 a 2
30 31 b 3
30 7 c 1
30 8 d 4
30 90 e 4
31 32 a 0
31 32 b 4
31 88 c 0
31 103 d 2
31 101 e 3
32 33 a 3
32 33 b 3
32 43 c 4
32 122 d 2
32 46 e 0
33 34 a 1
33 34 b 4
33 39 c 4
33 46 d 4
33 15 e 0
34 35 a 2
34 35 b 3
34 122 c 2
34 22 d 1
34 38 e 1
35 36 a 0
35 36 b 0
35 84 c 2
35 103 d 1
35 86 e 1
36 37 a 2
36 37 b 4
36 106 c 0
36 123 d 2
36 70 e 3
37 38 a 0
37 38 b 2
37 116 c 4
37 78 d 0
37 96 e 1
38 39 a 2
38 39 b 1
38 48 c 0
38 4 d 3
38 83 e 4
39 40 a 0
39 40 b 4
39 93 c 0
39 97 d 2
39 18 e 2
40 41 a 2
40 41 b 3
40 64 c 4
40 79 d 4
40 83 e 4
41 42 a 1
41 42 b 2
41 35 c 4
41 92 d 0
41 16 e 1
42 43 a 4
42 43 b 2
42 81 c 0
42 58 d 3
42 9 e 4
43 44 a 3
43 44 b 1
43 27 c 4
43 61 d 4
43 64 e 4
44 45 a 3
44 45 b 4
44 87 c 3
44 96 d 4
44 124 e 2
45 46 a 1
45 46 b 2
45 91 c 0
45 65 d 4
45 70 e 3
46 47 a 1
46 47 b 4
46 6 c 2
46 32 d 3
46 111 e 0
47 48 a 1
47 48 b 4
47 56 c 0
47 99 d 1
47 9 e 0
48 49 a 3
48 49 b 4
48 84 c 3
48 21 d 2
48 105 e 2
49 50 a 4
49 50 b 3
49 69 c 0
49 99 d 2
49 43 e 1
50 51 a 3
50 51 b 0
50 119 c 2
50 30 d 2
50 46 e 4
51 52 a 3
51 52 b 2
51 89 c 4
51 60 d 0
51 20 e 4
52 53 a 0
52 53 b 4
52 98 c 3
52 86 d 0
52 67 e 4
53 54 a 4
53 54 b 1
53 9 c 4
53 43 d 3
53 103 e 0
54 55 a 2
54 55 b 3
54 75 c 4
54 28 d 0
54 109 e 4
55 56 a 0
55 56 b 4
55 40 c 0
55 46 d 1
55 10 e 1
56 57 a 3
56 57 b 1
56 39 c 2
56 11 d 4
56 50 e 1
57 58 a 0
57 58 b 4
57 78 c 4
57 1 d 0
57 33 e 0
58 59 a 4
58 59 b 2
58 42 c 3
58 2 d 3
58 85 e 4
59 60 a 2
59 60 b 3
59 77 c 4
59 34 d 2
59 18 e 3
60 61 a 2
60 61 b 1
60 75 c 0
60 28 d 2
60 93 e 3
61 62 a 4
61 62 b 0
61 60 c 3
61 78 d 1
61 2 e 0
62 63 a 3
62 63 b 0
62 62 c 1
62 56 d 4
62 14 e 4
63 64 a 0
63 64 b 3
63 112 c 4
63 1 d 1
63 85 e 0
64 65 a 3
64 65 b 0
64 119 c 0
64 114 d 1
64 109 e 2
65 66 a 2
65 66 b 4
65 124 c 2
65 120 d 1
65 49 e 2
66 67 a 3
66 67 b 3
66 44 c 0
66 38 d 3
66 63 e 4
67 68 a 1
67 68 b 0
67 56 c 4
67 49 d 3
67 122 e 3
68 69 a 1
68 69 b 1
68 83 c 4
68 115 d 1
68 9 e 0
69 70 a 1
69 70 b 3
69 54 c 3
69 105 d 0
69 86 e 1
70 71 a 2
70 71 b 1
70 31 c 3
70 53 d 1
70 17 e 3
71 72 a 3
71 72 b 1
71 77 c 2
71 28 d 0
71 42 e 2
72 73 a 0
72 73 b 0
72 6 c 4
72 8 d 0
72 90 e 4
73 74 a 2
73 74 b 1
73 17 c 1
73 7 d 2
73 27 e 3
74 75 a 0
74 75 b 0
74 61 c 2
74 75 d 0
74 43 e 4
75 76 a 0
75 76 b 0
75 88 c 1
75 40 d 0
75 13 e 3
76 77 a 1
76 77 b 3
76 57 c 0
76 26 d 0
76 8 e 2
77 78 a 2
77 78 b 4
77 54 c 2
77 60 d 0
77 38 e 3
78 79 a 3
78 79 b 4
78 46 c 0
78 81 d 4
78 53 e 4
79 80 a 2
79 80 b 4
79 1 c 4
79 63 d 0
79 74 e 4
80 81 a 2
80 81 b 0
80 19 c 4
80 15 d 2
80 58 e 0
81 82 a 1
81 82 b 3
81 77 c 0
81 111 d 1
81 31 e 4
82 83 a 2
82 83 b 4
82 27 c 1
82 48 d 1
82 89 e 0
83 84 a 4
83 84 b 3
83 111 c 3
83 72 d 3
83 10 e 0
84 85 a 4
84 85 b 1
84 61 c 2
84 81 d 4
84 24 e 1
85 86 a 3
85 86 b 2
85 125 c 0
85 8 d 0
85 47 e 3
86 87 a 0
86 87 b 3
86 44 c 3
86 78 d 3
86 61 e 0
87 88 a 1
87 88 b 0
87 75 c 2
87 43 d 2
87 116 e 4
88 89 a 4
88 89 b 0
88 94 c 2
88 70 d 4
88 75 e 2
89 90 a 1
89 90 b 4
89 110 c 3
89 110 d 2
89 126 e 2
90 91 a 4
90 91 b 4
90 8 c 2
90 21 d 3
90 9 e 3
91 92 a 1
91 92 b 2
91 60 c 3
91 80 d 0
91 49 e 2
92 93 a 4
92 93 b 1
92 31 c 2
92 88 d 0
92 123 e 3
93 94 a 2
93 94 b 0
93 73 c 3
93 11 d 4
93 51 e 2
94 95 a 4
94 95 b 0
94 88 c 4
94 108 d 1
94 102 e 1
95 96 a 1
95 96 b 1
95 107 c 2
95 31 d 1
95 104 e 1
96 97 a 4
96 97 b 3
